task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
15	37/9e3212	54128	AQUASCOPE:runQualityAlign:IVAR_TRIMMING_SORTING:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SAMPLE1_SE)	COMPLETED	0	2024-11-02 18:15:55.608	870ms	0ms	94.9%	1.5 MB	4.3 MB	2.7 MB	5.1 KB
9	ae/1dd638	50302	AQUASCOPE:runQualityAlign:FASTQC_SHORT_TRIMMED (SAMPLE1_SE)	COMPLETED	0	2024-11-02 18:15:49.654	7s	6s	127.3%	232.3 MB	15.5 GB	14.2 MB	2.2 MB
19	f5/63c909	55208	AQUASCOPE:runQualityAlign:IVAR_TRIMMING_SORTING:IVAR_TRIM (SAMPLE1_PE)	COMPLETED	0	2024-11-02 18:15:56.661	2s	1s	80.9%	2.6 MB	8.3 MB	9.6 MB	4 MB
10	a0/43a7df	52209	AQUASCOPE:runQualityAlign:QUALIMAP_BAMQC (SAMPLE1_SE)	COMPLETED	0	2024-11-02 18:15:51.759	7s	6s	191.1%	249.3 MB	8.7 GB	13.5 MB	1 MB
20	5f/7db26d	56632	AQUASCOPE:runQualityAlign:IVAR_TRIMMING_SORTING:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SAMPLE1_PE)	COMPLETED	0	2024-11-02 18:15:58.739	1.5s	1s	146.6%	18 MB	1.7 GB	4.9 MB	3.9 MB
13	62/573aa5	52755	AQUASCOPE:runQualityAlign:FASTQC_SHORT_TRIMMED (SAMPLE1_PE)	COMPLETED	0	2024-11-02 18:15:52.803	8.4s	7s	175.6%	554.7 MB	15.7 GB	19.7 MB	4.6 MB
21	b0/aacc4f	57989	AQUASCOPE:runQualityAlign:IVAR_TRIMMING_SORTING:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SAMPLE1_PE)	COMPLETED	0	2024-11-02 18:16:00.464	1.4s	0ms	75.6%	1.5 MB	4.3 MB	4.9 MB	5.1 KB
29	f6/9423f4	59299	AQUASCOPE:runQualityAlign:IVAR_TRIMMING_SORTING:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE1_PE)	COMPLETED	0	2024-11-02 18:16:02.070	1.3s	1s	53.1%	1.5 MB	4.3 MB	978.4 KB	4.9 KB
24	8b/054c52	59471	AQUASCOPE:runQualityAlign:IVAR_TRIMMING_SORTING:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SAMPLE1_SE)	COMPLETED	0	2024-11-02 18:16:02.218	1.2s	1s	58.4%	1.5 MB	4.3 MB	2.7 MB	5.4 KB
28	a9/ad18cf	59484	AQUASCOPE:runQualityAlign:IVAR_TRIMMING_SORTING:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE1_SE)	COMPLETED	0	2024-11-02 18:16:02.252	1.1s	1s	48.7%	1.5 MB	4.3 MB	978.4 KB	4.9 KB
27	15/11cd0d	59375	AQUASCOPE:runQualityAlign:IVAR_TRIMMING_SORTING:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SAMPLE1_PE)	COMPLETED	0	2024-11-02 18:16:02.139	1.3s	1s	49.1%	1.5 MB	4.3 MB	4.9 MB	5.4 KB
25	78/be8a1d	59278	AQUASCOPE:runQualityAlign:IVAR_TRIMMING_SORTING:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_STATS (SAMPLE1_SE)	COMPLETED	0	2024-11-02 18:16:02.041	1.4s	1s	61.6%	4.1 MB	220.8 MB	2.7 MB	101.7 KB
26	e0/f859fa	59244	AQUASCOPE:runQualityAlign:IVAR_TRIMMING_SORTING:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_STATS (SAMPLE1_PE)	COMPLETED	0	2024-11-02 18:16:01.985	1.8s	1s	78.3%	4.6 MB	220.8 MB	4.9 MB	169.9 KB
17	e5/5fa69b	54096	AQUASCOPE:runQualityAlign:IVAR_VARIANTS (SAMPLE1_SE)	COMPLETED	0	2024-11-02 18:15:55.487	9.3s	8s	80.5%	24 MB	47.7 MB	37.3 MB	44 MB
18	a7/7c3704	55223	AQUASCOPE:runQualityAlign:QUALIMAP_BAMQC (SAMPLE1_PE)	COMPLETED	0	2024-11-02 18:15:56.814	8.9s	8s	155.3%	399.6 MB	9 GB	15.8 MB	1.3 MB
16	38/ae5fc6	54105	AQUASCOPE:runFreyja:FREYJA_VARIANT_CALLING:FREYJA_VARIANTS (SAMPLE1_SE)	COMPLETED	0	2024-11-02 18:15:55.518	10.4s	9s	103.8%	116.8 MB	4.6 GB	105.6 MB	43.9 MB
23	85/7e3925	57950	AQUASCOPE:runQualityAlign:IVAR_VARIANTS (SAMPLE1_PE)	COMPLETED	0	2024-11-02 18:16:00.362	9.6s	8s	93.9%	41.8 MB	73.4 MB	50.1 MB	59.8 MB
22	0c/699fd1	57956	AQUASCOPE:runFreyja:FREYJA_VARIANT_CALLING:FREYJA_VARIANTS (SAMPLE1_PE)	COMPLETED	0	2024-11-02 18:16:00.414	9.5s	8s	124.2%	118 MB	4.6 GB	118.4 MB	59.8 MB
30	59/b565f9	62435	AQUASCOPE:runQualityAlign:MULTIQC	COMPLETED	0	2024-11-02 18:16:05.834	8.9s	7.8s	129.4%	79.3 MB	4.4 GB	94.2 MB	23.4 MB
31	f1/bc0bc4	62484	AQUASCOPE:runFreyja:FREYJA_VARIANT_CALLING:FREYJA_DEMIX (SAMPLE1_SE)	COMPLETED	0	2024-11-02 18:16:06.072	46.6s	46s	119.7%	1.2 GB	8.8 GB	107.5 MB	760 B
32	fc/5970d9	64751	AQUASCOPE:runFreyja:FREYJA_VARIANT_CALLING:FREYJA_DEMIX (SAMPLE1_PE)	COMPLETED	0	2024-11-02 18:16:10.038	46.2s	46s	119.2%	1.3 GB	8.8 GB	107.4 MB	760 B
33	4e/973397	69710	AQUASCOPE:runFreyja:MULTIQC	COMPLETED	0	2024-11-02 18:16:56.395	8.1s	7.2s	138.3%	79.6 MB	4.4 GB	94.2 MB	23.5 MB
